NAME                                                      READY   STATUS    RESTARTS         AGE
igaming-source-fansport-crawler-c4f756cd7-ptvjs           2/2     Running   0                122m
igaming-source-fansport-db-0                              1/1     Running   0                16h
igaming-source-fansport-loader-788fff74d5-drkxj           2/2     Running   0                122m
igaming-source-fon-bet-by-crawler-54569fdc96-sx5jb        2/2     Running   0                122m
igaming-source-fon-bet-by-db-0                            1/1     Running   0                16h
igaming-source-fon-bet-by-loader-68bf68d889-8w2m4         2/2     Running   0                122m
igaming-source-fon-bet-kz-crawler-77b96fdb94-rtbsk        2/2     Running   0                122m
igaming-source-fon-bet-kz-db-0                            1/1     Running   0                16h
igaming-source-fon-bet-kz-loader-d9688445f-5rj7q          2/2     Running   0                122m
igaming-source-fon-bet-ru-crawler-5596985b4d-4gb2v        2/2     Running   0                122m
igaming-source-fon-bet-ru-db-0                            1/1     Running   0                16h
igaming-source-fon-bet-ru-loader-75587f77c-hhhg7          2/2     Running   0                122m
igaming-source-leon-crawler-7775d48844-jmfqd              2/2     Running   0                122m
igaming-source-leon-db-0                                  1/1     Running   0                16h
igaming-source-leon-loader-55644cc668-fbgr5               2/2     Running   0                122m
igaming-source-leovegas-crawler-686d4fb755-v8lkl          2/2     Running   0                122m
igaming-source-leovegas-db-0                              1/1     Running   0                16h
igaming-source-leovegas-loader-86b86677db-fzjm5           2/2     Running   0                122m
igaming-source-ligastavok-crawler-846f5fbc54-k7n9m        2/2     Running   0                122m
igaming-source-ligastavok-db-0                            1/1     Running   0                16h
igaming-source-ligastavok-loader-5c46f585cb-nmvql         2/2     Running   0                122m
igaming-source-linebet-crawler-86d687f6cd-z4qgp           2/2     Running   0                122m
igaming-source-linebet-db-0                               1/1     Running   0                16h
igaming-source-linebet-loader-ddd664f74-xcsmk             2/2     Running   0                122m
igaming-source-marathonbet-by-crawler-755ccd874b-wl8nw    2/2     Running   0                122m
igaming-source-marathonbet-by-db-0                        1/1     Running   0                16h
igaming-source-marathonbet-by-loader-6bd687fd45-c8skg     2/2     Running   8 (80m ago)      122m
igaming-source-marathonbet-com-crawler-5c8559bfb4-qwvwb   2/2     Running   2 (10m ago)      122m
igaming-source-marathonbet-com-db-0                       1/1     Running   0                16h
igaming-source-marathonbet-com-loader-677d9b6c8f-qsh6k    2/2     Running   19 (7m20s ago)   122m
igaming-source-marathonbet-crawler-7bbc48b6d9-8scmt       2/2     Running   0                122m
igaming-source-marathonbet-db-0                           1/1     Running   0                16h
igaming-source-marathonbet-loader-5977447465-2qfrd        2/2     Running   0                122m
igaming-source-megapari-crawler-55db964744-bz8tf          2/2     Running   1 (39m ago)      122m
igaming-source-megapari-db-0                              1/1     Running   0                16h
igaming-source-megapari-loader-57597b94d4-l9djx           2/2     Running   0                122m
igaming-source-melbet-com-crawler-7fff48864c-b2fdh        2/2     Running   3 (17m ago)      122m
igaming-source-melbet-com-db-0                            1/1     Running   0                16h
igaming-source-melbet-com-loader-597c867c95-bwrrl         2/2     Running   0                122m
igaming-source-melbet-crawler-667f7fcb77-dxjg2            2/2     Running   15 (2m20s ago)   122m
igaming-source-melbet-db-0                                1/1     Running   0                16h
igaming-source-melbet-loader-bd77d7b84-7fwdp              2/2     Running   0                122m
igaming-source-mrgreen-crawler-5f5bf68db8-kmnbn           2/2     Running   0                122m
igaming-source-mrgreen-db-0                               1/1     Running   0                16h
igaming-source-mrgreen-loader-5c44f4c6dd-wm55t            2/2     Running   0                122m
igaming-source-nordicbet-crawler-67676c9f9-b5ktj          2/2     Running   0                122m
igaming-source-nordicbet-db-0                             1/1     Running   0                16h
igaming-source-nordicbet-loader-77b64597ff-vbvtb          2/2     Running   0                122m
igaming-source-olimpbet-crawler-56f44ff5dd-vwm8q          2/2     Running   0                122m
igaming-source-olimpbet-db-0                              1/1     Running   0                16h
igaming-source-olimpbet-kz-crawler-7b8cb9dc56-c8rsf       2/2     Running   0                122m
igaming-source-olimpbet-kz-db-0                           1/1     Running   0                16h
igaming-source-olimpbet-kz-loader-dbc9f9f55-b8n8p         2/2     Running   0                122m
igaming-source-olimpbet-loader-6ff6f879ff-fz2jv           2/2     Running   0                122m
igaming-source-pari-crawler-74959fddf9-982bt              2/2     Running   0                122m
igaming-source-pari-db-0                                  1/1     Running   0                16h
igaming-source-pari-loader-5d8d7f745c-spzrw               2/2     Running   0                122m
igaming-source-pinnacle-crawler-564b4f7d5f-qq8k6          2/2     Running   0                122m
igaming-source-pinnacle-db-0                              1/1     Running   0                16h
igaming-source-pinnacle-loader-797bff5454-qk92w           2/2     Running   0                122m
igaming-source-rushbet-crawler-6b4b6945fc-tjtrc           2/2     Running   0                122m
igaming-source-rushbet-db-0                               1/1     Running   0                16h
igaming-source-rushbet-loader-d56c8997d-kmbvc             2/2     Running   0                122m
igaming-source-sbobet-crawler-844cd7d7fc-6l4qw            2/2     Running   16 (10m ago)     122m
igaming-source-sbobet-db-0                                1/1     Running   0                16h
igaming-source-sbobet-loader-7765d8bf7f-rqctl             2/2     Running   0                122m
igaming-source-spinbetter-crawler-7c9967df5d-jx6rr        2/2     Running   0                122m
igaming-source-spinbetter-db-0                            1/1     Running   0                16h
igaming-source-spinbetter-loader-5b5cc6b898-bc4sr         2/2     Running   0                122m
igaming-source-sportbet-crawler-6f8b86fd7c-cwcl4          2/2     Running   0                122m
igaming-source-sportbet-db-0                              1/1     Running   0                16h
igaming-source-sportbet-loader-65d4894f8c-2r92t           2/2     Running   0                122m
igaming-source-sunbet-crawler-fd6448975-b8727             2/2     Running   2 (29m ago)      122m
igaming-source-sunbet-db-0                                1/1     Running   0                16h
igaming-source-sunbet-loader-7796bc94df-ntv2k             2/2     Running   0                121m
igaming-source-tennisi-crawler-b9d74575-mjggc             2/2     Running   0                121m
igaming-source-tennisi-db-0                               1/1     Running   0                16h
igaming-source-tennisi-loader-58776764b9-kj2rk            2/2     Running   0                121m
igaming-source-winline-crawler-6bf44c5d45-mvqk6           2/2     Running   0                121m
igaming-source-winline-db-0                               1/1     Running   0                16h
igaming-source-winline-loader-69595c5cf5-x9nrg            2/2     Running   0                121m
igaming-source-zenit-crawler-69c85bb9dd-6dm7g             2/2     Running   0                121m
igaming-source-zenit-db-0                                 1/1     Running   0                16h
igaming-source-zenit-loader-6f86b89f76-lkv27              2/2     Running   0                121m
kafka-7cb9cfc6-lvnfm                                      1/1     Running   1 (7h13m ago)    4d2h
portal-postgres-0                                         1/1     Running   1 (7h13m ago)    4d2h
smartbet-guru-577d7b96fc-f7lvx                            1/1     Running   0                16h
smartbet-mobile-app-7d5cb6d6c7-2w6wl                      1/1     Running   0                16h
